ID_Folder;Nome_Sito;Indirizzo;Sistema;Sottocategoria;Attivita;Frequenza;Quantita;Stato_Documentale;Note;Data_Ultimo_Intervento
2;Via Don Orione 2;Via Don Orione 2;2.1;B.01 - B.08.04/ 05/06 - B.09 - B.10 - B.11;Canali di distribuzione, ripresa, serrande e bocchette e relativi locali tecnici;m2 superficie lorda climatizzata (presenti ricambi d'aria);2.412;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
3;Via Farini 9;Via Carlo Farini 9;2.1;B.01 - B.08.04/ 05/06 - B.09 - B.10 - B.11;Canali di distribuzione, ripresa, serrande e bocchette e relativi locali tecnici;m2 superficie lorda climatizzata (presenti ricambi d'aria);2.410;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
TBD;Via Rugabella 4/6;TBD;2.1;B.01 - B.08.04/ 05/06 - B.09 - B.10 - B.11;Canali di distribuzione, ripresa, serrande e bocchette e relativi locali tecnici;m2 superficie lorda climatizzata (presenti ricambi d'aria);3.312;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
5;Via Sassi 4;Via Sassi 4;2.1;B.01 - B.08.04/ 05/06 - B.09 - B.10 - B.11;Canali di distribuzione, ripresa, serrande e bocchette e relativi locali tecnici;m2 superficie lorda climatizzata (presenti ricambi d'aria);4.650;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
7;Viale Jenner 44;Viale Jenner 44;2.1;B.01 - B.08.04/ 05/06 - B.09 - B.10 - B.11;Canali di distribuzione, ripresa, serrande e bocchette e relativi locali tecnici;m2 superficie lorda climatizzata (presenti ricambi d'aria);295;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
8;Via Livigno 3;Via Livigno 3;2.1;B.01 - B.08.04/ 05/06 - B.09 - B.10 - B.11;Canali di distribuzione, ripresa, serrande e bocchette e relativi locali tecnici;m2 superficie lorda climatizzata (presenti ricambi d'aria);446;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
15;Via Clericetti 22;Via Clericetti 22;2.1;B.01 - B.08.04/ 05/06 - B.09 - B.10 - B.11;Canali di distribuzione, ripresa, serrande e bocchette e relativi locali tecnici;m2 superficie lorda climatizzata (presenti ricambi d'aria);564;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
16;Via Don Bosco 14;Via Don Bosco 14;2.1;B.01 - B.08.04/ 05/06 - B.09 - B.10 - B.11;Canali di distribuzione, ripresa, serrande e bocchette e relativi locali tecnici;m2 superficie lorda climatizzata (presenti ricambi d'aria);311;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
18;Via Palombino 4;Via Monte Palombino 4;2.1;B.01 - B.08.04/ 05/06 - B.09 - B.10 - B.11;Canali di distribuzione, ripresa, serrande e bocchette e relativi locali tecnici;m2 superficie lorda climatizzata (presenti ricambi d'aria);109;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
19;Via Quarenghi 21;Via Quarenghi 21;2.1;B.01 - B.08.04/ 05/06 - B.09 - B.10 - B.11;Canali di distribuzione, ripresa, serrande e bocchette e relativi locali tecnici;m2 superficie lorda climatizzata (presenti ricambi d'aria);641;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
21;Via Perini 22;Via Perini 22;2.1;B.01 - B.08.04/ 05/06 - B.09 - B.10 - B.11;Canali di distribuzione, ripresa, serrande e bocchette e relativi locali tecnici;m2 superficie lorda climatizzata (presenti ricambi d'aria);184;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
22;Via Cilea 146A;Via Francesco Cilea 146A;2.1;B.01 - B.08.04/ 05/06 - B.09 - B.10 - B.11;Canali di distribuzione, ripresa, serrande e bocchette e relativi locali tecnici;m2 superficie lorda climatizzata (presenti ricambi d'aria);405;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
23;Via Sanzio 9;Via Raffaello Sanzio 9;2.1;B.01 - B.08.04/ 05/06 - B.09 - B.10 - B.11;Canali di distribuzione, ripresa, serrande e bocchette e relativi locali tecnici;m2 superficie lorda climatizzata (presenti ricambi d'aria);303;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
1;Via Doria 52;Via Andrea Doria 52;30.1;C2 - C6;Distribuzione elettrica, quadri, ecc.;m2 superficie lorda;4.075;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
2;Via Don Orione 2;Via Don Orione 2;30.1;C2 - C6;Distribuzione elettrica, quadri, ecc.;m2 superficie lorda;2.967;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
3;Via Farini 9;Via Carlo Farini 9;30.1;C2 - C6;Distribuzione elettrica, quadri, ecc.;m2 superficie lorda;5.958;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
TBD;Via Rugabella 4/6;TBD;30.1;C2 - C6;Distribuzione elettrica, quadri, ecc.;m2 superficie lorda;4.088;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
5;Via Sassi 4;Via Sassi 4;30.1;C2 - C6;Distribuzione elettrica, quadri, ecc.;m2 superficie lorda;523;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
5;Via Sassi 4;Via Sassi 4;30.1;C2 - C6;Distribuzione elettrica, quadri, ecc.;m2 superficie lorda;4.650;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
7;Viale Jenner 44;Viale Jenner 44;30.1;C2 - C6;Distribuzione elettrica, quadri, ecc.;m2 superficie lorda;295;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
8;Via Livigno 3;Via Livigno 3;30.1;C2 - C6;Distribuzione elettrica, quadri, ecc.;m2 superficie lorda;446;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
