"CODICE";"CATEGORIA";"SOTTOCATEGORIA";"OPERAZIONE";"FREQ_DESCRIZIONE";"NORMATIVA";"COLONNA_C";"COLONNA_D";"QUANTITA";"NOTE"
"05";"HVAC";"Via Sassi 4 P.ssa Jolanda";"958 m2 superficie lorda x Distribuzione impianti idronici e sottocentrali";"Periodica";"Normativa vigente";"3.1";"B.01 -B.05 -B.06 -B.07 - B.09 - B.10 - B.11";"958";"REALE"
"XX";"HVAC";"V.le Jenner 44";"4 m2 superficie lorda x Distribuzione impianti idronici e sottocentrali";"Periodica";"Normativa vigente";"3.1";"B.01 -B.05 -B.06 -B.07 - B.09 - B.10 - B.11";"4";"REALE"
"08";"HVAC";"Via Livigno 3";"088 m2 superficie lorda x Distribuzione impianti idronici e sottocentrali";"Periodica";"Normativa vigente";"3.1";"B.01 -B.05 -B.06 -B.07 - B.09 - B.10 - B.11";"088";"REALE"
"09";"HVAC";"Via Calvairate 1";"523 m2 superficie lorda x Distribuzione impianti idronici e sottocentrali";"Periodica";"Normativa vigente";"3.1";"B.01 -B.05 -B.06 -B.07 - B.09 - B.10 - B.11";"523";"REALE"
"10";"HVAC";"Via Polesine 6";"4 m2 superficie lorda x Distribuzione impianti idronici e sottocentrali";"Periodica";"Normativa vigente";"3.1";"B.01 -B.05 -B.06 -B.07 - B.09 - B.10 - B.11";"4";"REALE"
"11b";"HVAC";"Via Adriano 99 e 107";"650 m2 superficie lorda x Distribuzione impianti idronici e sottocentrali";"Periodica";"Normativa vigente";"3.1";"B.01 -B.05 -B.06 -B.07 - B.09 - B.10 - B.11";"650";"REALE"
"12";"HVAC";"POT Bollate";"295 m2 superficie lorda x Distribuzione impianti idronici e sottocentrali";"Periodica";"Normativa vigente";"3.1";"B.01 -B.05 -B.06 -B.07 - B.09 - B.10 - B.11";"295";"REALE"
"XX";"HVAC";"Legnano";"446 m2 superficie lorda x Distribuzione impianti idronici e sottocentrali";"Periodica";"Normativa vigente";"3.1";"B.01 -B.05 -B.06 -B.07 - B.09 - B.10 - B.11";"446";"REALE"
"14";"HVAC";"viale Piceno 60";"106 m2 superficie lorda x Distribuzione impianti idronici e sottocentrali";"Periodica";"Normativa vigente";"3.1";"B.01 -B.05 -B.06 -B.07 - B.09 - B.10 - B.11";"106";"REALE"
"15";"HVAC";"via Clericetti 22";"82 m2 superficie lorda x Distribuzione impianti idronici e sottocentrali";"Periodica";"Normativa vigente";"3.1";"B.01 -B.05 -B.06 -B.07 - B.09 - B.10 - B.11";"82";"REALE"
"16";"HVAC";"via Don Bosco 14";"- m2 superficie lorda x Distribuzione impianti idronici e sottocentrali";"Periodica";"Normativa vigente";"3.1";"B.01 -B.05 -B.06 -B.07 - B.09 - B.10 - B.11";"-";"REALE"
"17";"HVAC";"via Fantoli 7";"1 m2 superficie lorda x Distribuzione impianti idronici e sottocentrali";"Periodica";"Normativa vigente";"3.1";"B.01 -B.05 -B.06 -B.07 - B.09 - B.10 - B.11";"1";"REALE"
"XX";"HVAC";"Via A. Doria 52";"- n.ro ventilconvettori x Ventilconvettori";"Periodica";"Normativa vigente";"15.1";"B.07.05";"-";"REALE"
"02";"HVAC";"Via Don Orione 2";"- n.ro ventilconvettori x Ventilconvettori";"Periodica";"Normativa vigente";"15.1";"B.07.05";"-";"REALE"
"03";"HVAC";"Via Farini 9";"- n.ro ventilconvettori x Ventilconvettori";"Periodica";"Normativa vigente";"15.1";"B.07.05";"-";"REALE"
"04";"HVAC";"Via Rugabella 4/6";"10 n.ro ventilconvettori x Ventilconvettori";"Periodica";"Normativa vigente";"15.1";"B.07.05";"10";"REALE"
"XX";"HVAC";"Via A. Sassi 4";"- n.ro ventilconvettori x Ventilconvettori";"Periodica";"Normativa vigente";"15.1";"B.07.05";"-";"REALE"
"05";"HVAC";"Via Sassi 4 P.ssa Jolanda";"- n.ro ventilconvettori x Ventilconvettori";"Periodica";"Normativa vigente";"15.1";"B.07.05";"-";"REALE"
"XX";"HVAC";"V.le Jenner 44";"- n.ro ventilconvettori x Ventilconvettori";"Periodica";"Normativa vigente";"15.1";"B.07.05";"-";"REALE"
"08";"HVAC";"Via Livigno 3";"- n.ro ventilconvettori x Ventilconvettori";"Periodica";"Normativa vigente";"15.1";"B.07.05";"-";"REALE"
"09";"HVAC";"Via Calvairate 1";"- n.ro ventilconvettori x Ventilconvettori";"Periodica";"Normativa vigente";"15.1";"B.07.05";"-";"REALE"
"10";"HVAC";"Via Polesine 6";"- n.ro ventilconvettori x Ventilconvettori";"Periodica";"Normativa vigente";"15.1";"B.07.05";"-";"REALE"
"11b";"HVAC";"Via Adriano 99 e 107";"- n.ro ventilconvettori x Ventilconvettori";"Periodica";"Normativa vigente";"15.1";"B.07.05";"-";"REALE"
"12";"HVAC";"POT Bollate";"- n.ro ventilconvettori x Ventilconvettori";"Periodica";"Normativa vigente";"15.1";"B.07.05";"-";"REALE"
"XX";"HVAC";"Legnano";"- n.ro ventilconvettori x Ventilconvettori";"Periodica";"Normativa vigente";"15.1";"B.07.05";"-";"REALE"
"14";"HVAC";"viale Piceno 60";"ND n.ro ventilconvettori x Ventilconvettori";"Periodica";"Normativa vigente";"15.1";"B.07.05";"ND";"REALE"
