"CODICE";"CATEGORIA";"SOTTOCATEGORIA";"OPERAZIONE";"FREQ_DESCRIZIONE";"NORMATIVA";"COLONNA_C";"COLONNA_D";"QUANTITA";"NOTE"
"33";"Idrico";"via Oglio 18";"98 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"98";"REALE"
"01";"Idrico";"Via A. Doria 52";"1 n.ro impianti produttori biossido di cloro x Apparecchiature controllo legionellosi";"Periodica";"Normativa vigente";"52.1";"D3.01";"1";"REALE"
"02";"Idrico";"Via Don Orione 2";"1 n.ro impianti produttori biossido di cloro x Apparecchiature controllo legionellosi";"Periodica";"Normativa vigente";"52.1";"D3.01";"1";"REALE"
"03";"Idrico";"Via Farini 9";"1 n.ro impianti produttori biossido di cloro x Apparecchiature controllo legionellosi";"Periodica";"Normativa vigente";"52.1";"D3.01";"1";"REALE"
"04";"Idrico";"Via Rugabella 4/6";"1 n.ro impianti produttori biossido di cloro x Apparecchiature controllo legionellosi";"Periodica";"Normativa vigente";"52.1";"D3.01";"1";"REALE"
"01";"Idrico";"Via A. Doria 52";"3 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"Normativa vigente";"53.1";"D3.01.06/07";"3";"REALE"
"02";"Idrico";"Via Don Orione 2";"3 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"Normativa vigente";"53.1";"D3.01.06/07";"3";"REALE"
"03";"Idrico";"Via Farini 9";"3 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"Normativa vigente";"53.1";"D3.01.06/07";"3";"REALE"
"04";"Idrico";"Via Rugabella 4/6";"3 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"Normativa vigente";"53.1";"D3.01.06/07";"3";"REALE"
"05";"Idrico";"Via A. Sassi 4";"3 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"Normativa vigente";"53.1";"D3.01.06/07";"3";"REALE"
