"CODICE";"CATEGORIA";"SOTTOCATEGORIA";"OPERAZIONE";"FREQ_DESCRIZIONE";"NORMATIVA";"LAST_DATE";"NEXT_DUE";"NOTE"
"22";"Elettrico";"via Cilea 146A";"405 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"23";"Elettrico";"via R. Sanzio 9";"303 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"24";"Elettrico";"via Statuto 5";"638 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"26";"Elettrico";"via Padova 118";"275 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"27";"Elettrico";"L.go Volontari del Sangue 1";"677 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"28";"Elettrico";"C.so Plebisciti 4";"276 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"29";"Elettrico";"via Serlio 8";"437 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"17";"Elettrico";"via Fantoli 7
Consultorio";"601 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"31";"Elettrico";"viale Puglie 33";"370 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"32";"Elettrico";"via Natta 19";"395 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"33";"Elettrico";"via Oglio 18";"98 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"01";"Idrico";"Via A. Doria 52";"1 n.ro vasche x Centrali idriche";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
