Ubicazione Prevalente,Tipologia Impianto,Asset / Apparecchiatura,QuantitÃ  Totale,Frequenza Manutentiva,FM,Riferimento Normativo,Note di Verifica / Prescrizioni,Data Ultimo Intervento,Data Scadenza
ANTINCENDIO,Illum. Emergenza,311 m2,via Don Bosco 14,Semestrale,6,UNI EN 1838,Test di autonomia.,,
ANTINCENDIO,Centrale Pressurizzazione,0,via Don Bosco 14,Settimanale / Mensile,,UNI EN 12845,Avviamento pompe,,
ELETTRICI,Quadri e Distribuzione,311 m2,via Don Bosco 14,Annuale,12,CEI 64-8,Pulizia carpenteria.,,
ELETTRICI,Locali Uso Medico (G1/G2),0,via Don Bosco 14,Annuale/Semestrale,,CEI 64-8/7-710,Prova differenziali.,,
ELETTRICI,Impianto Terra / Scariche,311 m2,via Don Bosco 14,Biennale,24,DPR 462/01,Misura resistenza terra.,,
ELETTRICI,Rifasatori,0,via Don Bosco 14,Semestrale,6,Norme CEI,Misura del Cos,,
ELEVATORI,Elevatori (1-5 piani),0,via Don Bosco 14,Mensile / Semestrale,,DPR 162/99,Verifica sicurezze.,,
ELEVATORI,Elevatori (6-10 piani),0,via Don Bosco 14,Mensile / Semestrale,,DPR 162/99,Lubrificazione organi.,,
ELEVATORI,Servoscala,0,via Don Bosco 14,Semestrale,6,DPR 162/99,Verifica dispositivi.,,
MECCANICI,Caldaie (36-350 kW),1,via Don Bosco 14,Mensile/Trimestrale,,DPR 74/13,Analisi combustione.,,
MECCANICI,Caldaie (>350 kW),0,via Don Bosco 14,Settimanale,6,DPR 74/13,Controllo pressione.,,
MECCANICI,Gruppi Frigo / Chiller,0,via Don Bosco 14,Mensile / Trimestrale,,Reg. (UE) 517,Ricerca perdite.,,
MECCANICI,UTA (Trattamento Aria),0,via Don Bosco 14,Trimestrale,3,Linee Guida,Sostituzione filtri.,,
MECCANICI,Addolcitori,0,via Don Bosco 14,Settimanale/Mensile,,DM 25/12,Verifica durezza.,,
MECCANICI,Produttori Biossido Cloro,0,via Don Bosco 14,Settimanale,,Linee Guida,Dosaggio continuo.,,
MECCANICI,Pompe Sollevamento,0,via Don Bosco 14,Mensile,1,D.Lgs 81/08,Verifica galleggianti.,,
MECCANICI,Distribuzione impianti idronici e sottocentrali,311 m2,via Don Bosco 14,Annuale,12,Norme Tecniche,Manutenzione,,
MECCANICI,Ventilconvettori,0,via Don Bosco 14,Annuale,12,Linee Guida,Pulizia filtri,,
MECCANICI,Condizionatori tipo split/VRV/carrellabili,0,via Don Bosco 14,Annuale,12,Linee Guida,Sanificazione,,
MECCANICI,"Canali di distribuzione, ripresa, serrande",0,via Don Bosco 14,Annuale,12,Linee Guida,Pulizia condotte,,
MECCANICI,Distribuzione idrico sanitaria,311 m2,via Don Bosco 14,Annuale,12,D.Lgs 31/01,Verifiche perdite,,
MECCANICI,Centrali idriche (Vasche),0,via Don Bosco 14,Mensile,1,D.Lgs 31/01,Controllo vasche,,
MECCANICI,Prove della legionella della rete idrico-sanitaria,2,via Don Bosco 14,Annuale,12,Linee Guida,Prelievi,,
EDILE,Cancelli e sbarre motorizzati,0,via Don Bosco 14,Semestrale,6,D.Lgs 81/08,Sicurezze,,
EDILE,Porte automatiche e portoni sezionali,0,via Don Bosco 14,Semestrale,6,D.Lgs 81/08,Sicurezze,,
ANTINCENDIO,Estintori,9,via Fantoli 7 Poliamb.,Semestrale,6,"UNI 9994-1, DPR 151/11","Verificare pressione, carica e integritÃ .",,
ANTINCENDIO,Porte Tagliafuoco / REI,11,via Fantoli 7 Poliamb.,Semestrale,6,DM 10/03/98,Verifica integritÃ  guarnizioni.,,
ANTINCENDIO,Idranti / Naspi,2,via Fantoli 7 Poliamb.,Semestrale,6,UNI 10779,Prova di portata e pressione.,,
ANTINCENDIO,Rilevazione Fumi,1154 m2,via Fantoli 7 Poliamb.,Semestrale,6,UNI 11224,Test dei rilevatori.,,
ANTINCENDIO,Illum. Emergenza,1154 m2,via Fantoli 7 Poliamb.,Semestrale,6,UNI EN 1838,Test di autonomia.,,
ANTINCENDIO,Centrale Pressurizzazione,0,via Fantoli 7 Poliamb.,Settimanale / Mensile,,UNI EN 12845,Avviamento pompe,,
ELETTRICI,Quadri e Distribuzione,1154 m2,via Fantoli 7 Poliamb.,Annuale,12,CEI 64-8,Pulizia carpenteria.,,
ELETTRICI,Locali Uso Medico (G1/G2),11,via Fantoli 7 Poliamb.,Annuale/Semestrale,,CEI 64-8/7-710,Prova differenziali.,,
ELETTRICI,Impianto Terra / Scariche,1154 m2,via Fantoli 7 Poliamb.,Biennale,24,DPR 462/01,Misura resistenza terra.,,
ELETTRICI,Rifasatori,0,via Fantoli 7 Poliamb.,Semestrale,6,Norme CEI,Misura del Cos,,
ELEVATORI,Elevatori (1-5 piani),0,via Fantoli 7 Poliamb.,Mensile / Semestrale,,DPR 162/99,Verifica sicurezze.,,
ELEVATORI,Elevatori (6-10 piani),0,via Fantoli 7 Poliamb.,Mensile / Semestrale,,DPR 162/99,Lubrificazione organi.,,
ELEVATORI,Servoscala,0,via Fantoli 7 Poliamb.,Semestrale,6,DPR 162/99,Verifica dispositivi.,,
MECCANICI,Caldaie (36-350 kW),0,via Fantoli 7 Poliamb.,Mensile/Trimestrale,,DPR 74/13,Analisi combustione.,,
MECCANICI,Caldaie (>350 kW),0,via Fantoli 7 Poliamb.,Settimanale,6,DPR 74/13,Controllo pressione.,,
MECCANICI,Gruppi Frigo / Chiller,0,via Fantoli 7 Poliamb.,Mensile / Trimestrale,,Reg. (UE) 517,Ricerca perdite.,,
MECCANICI,UTA (Trattamento Aria),0,via Fantoli 7 Poliamb.,Trimestrale,3,Linee Guida,Sostituzione filtri.,,
MECCANICI,Addolcitori,0,via Fantoli 7 Poliamb.,Settimanale/Mensile,,DM 25/12,Verifica durezza.,,
MECCANICI,Produttori Biossido Cloro,0,via Fantoli 7 Poliamb.,Settimanale,,Linee Guida,Dosaggio continuo.,,
MECCANICI,Pompe Sollevamento,0,via Fantoli 7 Poliamb.,Mensile,1,D.Lgs 81/08,Verifica galleggianti.,,
MECCANICI,Distribuzione impianti idronici e sottocentrali,1154 m2,via Fantoli 7 Poliamb.,Annuale,12,Norme Tecniche,Manutenzione,,
MECCANICI,Ventilconvettori,0,via Fantoli 7 Poliamb.,Annuale,12,Linee Guida,Pulizia filtri,,
MECCANICI,Condizionatori tipo split/VRV/carrellabili,0,via Fantoli 7 Poliamb.,Annuale,12,Linee Guida,Sanificazione,,
MECCANICI,"Canali di distribuzione, ripresa, serrande",0,via Fantoli 7 Poliamb.,Annuale,12,Linee Guida,Pulizia condotte,,
MECCANICI,Distribuzione idrico sanitaria,1154 m2,via Fantoli 7 Poliamb.,Annuale,12,D.Lgs 31/01,Verifiche perdite,,
MECCANICI,Centrali idriche (Vasche),0,via Fantoli 7 Poliamb.,Mensile,1,D.Lgs 31/01,Controllo vasche,,
MECCANICI,Prove della legionella della rete idrico-sanitaria,2,via Fantoli 7 Poliamb.,Annuale,12,Linee Guida,Prelievi,,
EDILE,Cancelli e sbarre motorizzati,0,via Fantoli 7 Poliamb.,Semestrale,6,D.Lgs 81/08,Sicurezze,,
EDILE,Porte automatiche e portoni sezionali,0,via Fantoli 7 Poliamb.,Semestrale,6,D.Lgs 81/08,Sicurezze,,
ANTINCENDIO,Estintori,2,via Monte Palombino 4,Semestrale,6,"UNI 9994-1, DPR 151/11","Verificare pressione, carica e integritÃ .",,
ANTINCENDIO,Porte Tagliafuoco / REI,2,via Monte Palombino 4,Semestrale,6,DM 10/03/98,Verifica integritÃ  guarnizioni.,,
ANTINCENDIO,Idranti / Naspi,0,via Monte Palombino 4,Semestrale,6,UNI 10779,Prova di portata e pressione.,,
ANTINCENDIO,Rilevazione Fumi,109 m2,via Monte Palombino 4,Semestrale,6,UNI 11224,Test dei rilevatori.,,
ANTINCENDIO,Illum. Emergenza,109 m2,via Monte Palombino 4,Semestrale,6,UNI EN 1838,Test di autonomia.,,
ANTINCENDIO,Centrale Pressurizzazione,0,via Monte Palombino 4,Settimanale / Mensile,,UNI EN 12845,Avviamento pompe,,
ELETTRICI,Quadri e Distribuzione,109 m2,via Monte Palombino 4,Annuale,12,CEI 64-8,Pulizia carpenteria.,,
ELETTRICI,Locali Uso Medico (G1/G2),3,via Monte Palombino 4,Annuale/Semestrale,,CEI 64-8/7-710,Prova differenziali.,,
ELETTRICI,Impianto Terra / Scariche,109 m2,via Monte Palombino 4,Biennale,24,DPR 462/01,Misura resistenza terra.,,
ELETTRICI,Rifasatori,0,via Monte Palombino 4,Semestrale,6,Norme CEI,Misura del Cos,,
ELEVATORI,Elevatori (1-5 piani),0,via Monte Palombino 4,Mensile / Semestrale,,DPR 162/99,Verifica sicurezze.,,
ELEVATORI,Elevatori (6-10 piani),0,via Monte Palombino 4,Mensile / Semestrale,,DPR 162/99,Lubrificazione organi.,,
ELEVATORI,Servoscala,0,via Monte Palombino 4,Semestrale,6,DPR 162/99,Verifica dispositivi.,,
MECCANICI,Caldaie (36-350 kW),0,via Monte Palombino 4,Mensile/Trimestrale,,DPR 74/13,Analisi combustione.,,
MECCANICI,Caldaie (>350 kW),0,via Monte Palombino 4,Settimanale,6,DPR 74/13,Controllo pressione.,,
MECCANICI,Gruppi Frigo / Chiller,0,via Monte Palombino 4,Mensile / Trimestrale,,Reg. (UE) 517,Ricerca perdite.,,
MECCANICI,UTA (Trattamento Aria),0,via Monte Palombino 4,Trimestrale,3,Linee Guida,Sostituzione filtri.,,
MECCANICI,Addolcitori,0,via Monte Palombino 4,Settimanale/Mensile,,DM 25/12,Verifica durezza.,,
MECCANICI,Produttori Biossido Cloro,0,via Monte Palombino 4,Settimanale,,Linee Guida,Dosaggio continuo.,,
MECCANICI,Pompe Sollevamento,0,via Monte Palombino 4,Mensile,1,D.Lgs 81/08,Verifica galleggianti.,,
MECCANICI,Distribuzione impianti idronici e sottocentrali,109 m2,via Monte Palombino 4,Annuale,12,Norme Tecniche,Manutenzione,,
MECCANICI,Ventilconvettori,0,via Monte Palombino 4,Annuale,12,Linee Guida,Pulizia filtri,,
MECCANICI,Condizionatori tipo split/VRV/carrellabili,0,via Monte Palombino 4,Annuale,12,Linee Guida,Sanificazione,,
MECCANICI,"Canali di distribuzione, ripresa, serrande",0,via Monte Palombino 4,Annuale,12,Linee Guida,Pulizia condotte,,
MECCANICI,Distribuzione idrico sanitaria,109 m2,via Monte Palombino 4,Annuale,12,D.Lgs 31/01,Verifiche perdite,,
MECCANICI,Centrali idriche (Vasche),0,via Monte Palombino 4,Mensile,1,D.Lgs 31/01,Controllo vasche,,
MECCANICI,Prove della legionella della rete idrico-sanitaria,2,via Monte Palombino 4,Annuale,12,Linee Guida,Prelievi,,
EDILE,Cancelli e sbarre motorizzati,0,via Monte Palombino 4,Semestrale,6,D.Lgs 81/08,Sicurezze,,
EDILE,Porte automatiche e portoni sezionali,0,via Monte Palombino 4,Semestrale,6,D.Lgs 81/08,Sicurezze,,
ANTINCENDIO,Estintori,7,via Quarenghi 21,Semestrale,6,"UNI 9994-1, DPR 151/11","Verificare pressione, carica e integritÃ .",,
ANTINCENDIO,Porte Tagliafuoco / REI,8,via Quarenghi 21,Semestrale,6,DM 10/03/98,Verifica integritÃ  guarnizioni.,,
ANTINCENDIO,Idranti / Naspi,0,via Quarenghi 21,Semestrale,6,UNI 10779,Prova di portata e pressione.,,
ANTINCENDIO,Rilevazione Fumi,641 m2,via Quarenghi 21,Semestrale,6,UNI 11224,Test dei rilevatori.,,
ANTINCENDIO,Illum. Emergenza,641 m2,via Quarenghi 21,Semestrale,6,UNI EN 1838,Test di autonomia.,,
ANTINCENDIO,Centrale Pressurizzazione,0,via Quarenghi 21,Settimanale / Mensile,,UNI EN 12845,Avviamento pompe,,
ELETTRICI,Quadri e Distribuzione,641 m2,via Quarenghi 21,Annuale,12,CEI 64-8,Pulizia carpenteria.,,
ELETTRICI,Locali Uso Medico (G1/G2),4,via Quarenghi 21,Annuale/Semestrale,,CEI 64-8/7-710,Prova differenziali.,,
ELETTRICI,Impianto Terra / Scariche,641 m2,via Quarenghi 21,Biennale,24,DPR 462/01,Misura resistenza terra.,,
ELETTRICI,Rifasatori,0,via Quarenghi 21,Semestrale,6,Norme CEI,Misura del Cos,,
ELEVATORI,Elevatori (1-5 piani),0,via Quarenghi 21,Mensile / Semestrale,,DPR 162/99,Verifica sicurezze.,,
ELEVATORI,Elevatori (6-10 piani),0,via Quarenghi 21,Mensile / Semestrale,,DPR 162/99,Lubrificazione organi.,,
ELEVATORI,Servoscala,0,via Quarenghi 21,Semestrale,6,DPR 162/99,Verifica dispositivi.,,
MECCANICI,Caldaie (36-350 kW),0,via Quarenghi 21,Mensile/Trimestrale,,DPR 74/13,Analisi combustione.,,
MECCANICI,Caldaie (>350 kW),0,via Quarenghi 21,Settimanale,6,DPR 74/13,Controllo pressione.,,
MECCANICI,Gruppi Frigo / Chiller,0,via Quarenghi 21,Mensile / Trimestrale,,Reg. (UE) 517,Ricerca perdite.,,
MECCANICI,UTA (Trattamento Aria),0,via Quarenghi 21,Trimestrale,3,Linee Guida,Sostituzione filtri.,,
MECCANICI,Addolcitori,0,via Quarenghi 21,Settimanale/Mensile,,DM 25/12,Verifica durezza.,,
MECCANICI,Produttori Biossido Cloro,0,via Quarenghi 21,Settimanale,,Linee Guida,Dosaggio continuo.,,
MECCANICI,Pompe Sollevamento,0,via Quarenghi 21,Mensile,1,D.Lgs 81/08,Verifica galleggianti.,,
MECCANICI,Distribuzione impianti idronici e sottocentrali,641 m2,via Quarenghi 21,Annuale,12,Norme Tecniche,Manutenzione,,
MECCANICI,Ventilconvettori,0,via Quarenghi 21,Annuale,12,Linee Guida,Pulizia filtri,,
MECCANICI,Condizionatori tipo split/VRV/carrellabili,0,via Quarenghi 21,Annuale,12,Linee Guida,Sanificazione,,
MECCANICI,"Canali di distribuzione, ripresa, serrande",0,via Quarenghi 21,Annuale,12,Linee Guida,Pulizia condotte,,
MECCANICI,Distribuzione idrico sanitaria,641 m2,via Quarenghi 21,Annuale,12,D.Lgs 31/01,Verifiche perdite,,
MECCANICI,Centrali idriche (Vasche),0,via Quarenghi 21,Mensile,1,D.Lgs 31/01,Controllo vasche,,
MECCANICI,Prove della legionella della rete idrico-sanitaria,2,via Quarenghi 21,Annuale,12,Linee Guida,Prelievi,,
EDILE,Cancelli e sbarre motorizzati,0,via Quarenghi 21,Semestrale,6,D.Lgs 81/08,Sicurezze,,
EDILE,Porte automatiche e portoni sezionali,0,via Quarenghi 21,Semestrale,6,D.Lgs 81/08,Sicurezze,,
ANTINCENDIO,Estintori,0,via Aldini 72,Semestrale,6,"UNI 9994-1, DPR 151/11","Verificare pressione, carica e integritÃ .",,
ANTINCENDIO,Porte Tagliafuoco / REI,0,via Aldini 72,Semestrale,6,DM 10/03/98,Verifica integritÃ  guarnizioni.,,
ANTINCENDIO,Idranti / Naspi,0,via Aldini 72,Semestrale,6,UNI 10779,Prova di portata e pressione.,,
ANTINCENDIO,Rilevazione Fumi,5508 m2,via Aldini 72,Semestrale,6,UNI 11224,Test dei rilevatori.,,
ANTINCENDIO,Illum. Emergenza,5508 m2,via Aldini 72,Semestrale,6,UNI EN 1838,Test di autonomia.,,
ANTINCENDIO,Centrale Pressurizzazione,0,via Aldini 72,Settimanale / Mensile,,UNI EN 12845,Avviamento pompe,,
ELETTRICI,Quadri e Distribuzione,5508 m2,via Aldini 72,Annuale,12,CEI 64-8,Pulizia carpenteria.,,
ELETTRICI,Locali Uso Medico (G1/G2),0,via Aldini 72,Annuale/Semestrale,,CEI 64-8/7-710,Prova differenziali.,,
ELETTRICI,Impianto Terra / Scariche,5508 m2,via Aldini 72,Biennale,24,DPR 462/01,Misura resistenza terra.,,
ELETTRICI,Rifasatori,0,via Aldini 72,Semestrale,6,Norme CEI,Misura del Cos,,
ELEVATORI,Elevatori (1-5 piani),0,via Aldini 72,Mensile / Semestrale,,DPR 162/99,Verifica sicurezze.,,
ELEVATORI,Elevatori (6-10 piani),0,via Aldini 72,Mensile / Semestrale,,DPR 162/99,Lubrificazione organi.,,
ELEVATORI,Servoscala,0,via Aldini 72,Semestrale,6,DPR 162/99,Verifica dispositivi.,,
MECCANICI,Caldaie (36-350 kW),0,via Aldini 72,Mensile/Trimestrale,,DPR 74/13,Analisi combustione.,,
MECCANICI,Caldaie (>350 kW),0,via Aldini 72,Settimanale,6,DPR 74/13,Controllo pressione.,,
MECCANICI,Gruppi Frigo / Chiller,0,via Aldini 72,Mensile / Trimestrale,,Reg. (UE) 517,Ricerca perdite.,,
MECCANICI,UTA (Trattamento Aria),0,via Aldini 72,Trimestrale,3,Linee Guida,Sostituzione filtri.,,
MECCANICI,Addolcitori,0,via Aldini 72,Settimanale/Mensile,,DM 25/12,Verifica durezza.,,
MECCANICI,Produttori Biossido Cloro,0,via Aldini 72,Settimanale,,Linee Guida,Dosaggio continuo.,,
MECCANICI,Pompe Sollevamento,0,via Aldini 72,Mensile,1,D.Lgs 81/08,Verifica galleggianti.,,
MECCANICI,Distribuzione impianti idronici e sottocentrali,5508 m2,via Aldini 72,Annuale,12,Norme Tecniche,Manutenzione,,
MECCANICI,Ventilconvettori,0,via Aldini 72,Annuale,12,Linee Guida,Pulizia filtri,,
MECCANICI,Condizionatori tipo split/VRV/carrellabili,0,via Aldini 72,Annuale,12,Linee Guida,Sanificazione,,
MECCANICI,"Canali di distribuzione, ripresa, serrande",0,via Aldini 72,Annuale,12,Linee Guida,Pulizia condotte,,
MECCANICI,Distribuzione idrico sanitaria,5508 m2,via Aldini 72,Annuale,12,D.Lgs 31/01,Verifiche perdite,,
MECCANICI,Centrali idriche (Vasche),0,via Aldini 72,Mensile,1,D.Lgs 31/01,Controllo vasche,,
MECCANICI,Prove della legionella della rete idrico-sanitaria,2,via Aldini 72,Annuale,12,Linee Guida,Prelievi,,
EDILE,Cancelli e sbarre motorizzati,0,via Aldini 72,Semestrale,6,D.Lgs 81/08,Sicurezze,,
EDILE,Porte automatiche e portoni sezionali,0,via Aldini 72,Semestrale,6,D.Lgs 81/08,Sicurezze,,
ANTINCENDIO,Estintori,4,via Perini 22,Semestrale,6,"UNI 9994-1, DPR 151/11","Verificare pressione, carica e integritÃ .",,
ANTINCENDIO,Porte Tagliafuoco / REI,0,via Perini 22,Semestrale,6,DM 10/03/98,Verifica integritÃ  guarnizioni.,,
ANTINCENDIO,Idranti / Naspi,0,via Perini 22,Semestrale,6,UNI 10779,Prova di portata e pressione.,,
ANTINCENDIO,Rilevazione Fumi,184 m2,via Perini 22,Semestrale,6,UNI 11224,Test dei rilevatori.,,
ANTINCENDIO,Illum. Emergenza,184 m2,via Perini 22,Semestrale,6,UNI EN 1838,Test di autonomia.,,
ANTINCENDIO,Centrale Pressurizzazione,0,via Perini 22,Settimanale / Mensile,,UNI EN 12845,Avviamento pompe,,
ELETTRICI,Quadri e Distribuzione,184 m2,via Perini 22,Annuale,12,CEI 64-8,Pulizia carpenteria.,,
ELETTRICI,Locali Uso Medico (G1/G2),0,via Perini 22,Annuale/Semestrale,,CEI 64-8/7-710,Prova differenziali.,,
ELETTRICI,Impianto Terra / Scariche,184 m2,via Perini 22,Biennale,24,DPR 462/01,Misura resistenza terra.,,
ELETTRICI,Rifasatori,0,via Perini 22,Semestrale,6,Norme CEI,Misura del Cos,,
ELEVATORI,Elevatori (1-5 piani),0,via Perini 22,Mensile / Semestrale,,DPR 162/99,Verifica sicurezze.,,
ELEVATORI,Elevatori (6-10 piani),0,via Perini 22,Mensile / Semestrale,,DPR 162/99,Lubrificazione organi.,,
ELEVATORI,Servoscala,0,via Perini 22,Semestrale,6,DPR 162/99,Verifica dispositivi.,,
MECCANICI,Caldaie (36-350 kW),0,via Perini 22,Mensile/Trimestrale,,DPR 74/13,Analisi combustione.,,
MECCANICI,Caldaie (>350 kW),0,via Perini 22,Settimanale,6,DPR 74/13,Controllo pressione.,,
MECCANICI,Gruppi Frigo / Chiller,0,via Perini 22,Mensile / Trimestrale,,Reg. (UE) 517,Ricerca perdite.,,
MECCANICI,UTA (Trattamento Aria),0,via Perini 22,Trimestrale,3,Linee Guida,Sostituzione filtri.,,
MECCANICI,Addolcitori,0,via Perini 22,Settimanale/Mensile,,DM 25/12,Verifica durezza.,,
MECCANICI,Produttori Biossido Cloro,0,via Perini 22,Settimanale,,Linee Guida,Dosaggio continuo.,,
MECCANICI,Pompe Sollevamento,0,via Perini 22,Mensile,1,D.Lgs 81/08,Verifica galleggianti.,,
MECCANICI,Distribuzione impianti idronici e sottocentrali,184 m2,via Perini 22,Annuale,12,Norme Tecniche,Manutenzione,,
MECCANICI,Ventilconvettori,0,via Perini 22,Annuale,12,Linee Guida,Pulizia filtri,,
MECCANICI,Condizionatori tipo split/VRV/carrellabili,0,via Perini 22,Annuale,12,Linee Guida,Sanificazione,,
MECCANICI,"Canali di distribuzione, ripresa, serrande",0,via Perini 22,Annuale,12,Linee Guida,Pulizia condotte,,
MECCANICI,Distribuzione idrico sanitaria,184 m2,via Perini 22,Annuale,12,D.Lgs 31/01,Verifiche perdite,,
MECCANICI,Centrali idriche (Vasche),0,via Perini 22,Mensile,1,D.Lgs 31/01,Controllo vasche,,
MECCANICI,Prove della legionella della rete idrico-sanitaria,2,via Perini 22,Annuale,12,Linee Guida,Prelievi,,
EDILE,Cancelli e sbarre motorizzati,0,via Perini 22,Semestrale,6,D.Lgs 81/08,Sicurezze,,
EDILE,Porte automatiche e portoni sezionali,0,via Perini 22,Semestrale,6,D.Lgs 81/08,Sicurezze,,
ANTINCENDIO,Estintori,0,via Cilea 146A,Semestrale,6,"UNI 9994-1, DPR 151/11","Verificare pressione, carica e integritÃ .",,
ANTINCENDIO,Porte Tagliafuoco / REI,6,via Cilea 146A,Semestrale,6,DM 10/03/98,Verifica integritÃ  guarnizioni.,,
ANTINCENDIO,Idranti / Naspi,0,via Cilea 146A,Semestrale,6,UNI 10779,Prova di portata e pressione.,,
ANTINCENDIO,Rilevazione Fumi,405 m2,via Cilea 146A,Semestrale,6,UNI 11224,Test dei rilevatori.,,
ANTINCENDIO,Illum. Emergenza,405 m2,via Cilea 146A,Semestrale,6,UNI EN 1838,Test di autonomia.,,
ANTINCENDIO,Centrale Pressurizzazione,0,via Cilea 146A,Settimanale / Mensile,,UNI EN 12845,Avviamento pompe,,
ELETTRICI,Quadri e Distribuzione,405 m2,via Cilea 146A,Annuale,12,CEI 64-8,Pulizia carpenteria.,,
ELETTRICI,Locali Uso Medico (G1/G2),0,via Cilea 146A,Annuale/Semestrale,,CEI 64-8/7-710,Prova differenziali.,,
ELETTRICI,Impianto Terra / Scariche,405 m2,via Cilea 146A,Biennale,24,DPR 462/01,Misura resistenza terra.,,
ELETTRICI,Rifasatori,0,via Cilea 146A,Semestrale,6,Norme CEI,Misura del Cos,,
ELEVATORI,Elevatori (1-5 piani),1,via Cilea 146A,Mensile / Semestrale,,DPR 162/99,Verifica sicurezze.,,
ELEVATORI,Elevatori (6-10 piani),0,via Cilea 146A,Mensile / Semestrale,,DPR 162/99,Lubrificazione organi.,,
ELEVATORI,Servoscala,0,via Cilea 146A,Semestrale,6,DPR 162/99,Verifica dispositivi.,,
MECCANICI,Caldaie (36-350 kW),0,via Cilea 146A,Mensile/Trimestrale,,DPR 74/13,Analisi combustione.,,
MECCANICI,Caldaie (>350 kW),0,via Cilea 146A,Settimanale,6,DPR 74/13,Controllo pressione.,,
MECCANICI,Gruppi Frigo / Chiller,0,via Cilea 146A,Mensile / Trimestrale,,Reg. (UE) 517,Ricerca perdite.,,
MECCANICI,UTA (Trattamento Aria),0,via Cilea 146A,Trimestrale,3,Linee Guida,Sostituzione filtri.,,
MECCANICI,Addolcitori,0,via Cilea 146A,Settimanale/Mensile,,DM 25/12,Verifica durezza.,,
MECCANICI,Produttori Biossido Cloro,0,via Cilea 146A,Settimanale,,Linee Guida,Dosaggio continuo.,,
MECCANICI,Pompe Sollevamento,0,via Cilea 146A,Mensile,1,D.Lgs 81/08,Verifica galleggianti.,,
MECCANICI,Distribuzione impianti idronici e sottocentrali,405 m2,via Cilea 146A,Annuale,12,Norme Tecniche,Manutenzione,,
MECCANICI,Ventilconvettori,0,via Cilea 146A,Annuale,12,Linee Guida,Pulizia filtri,,
MECCANICI,Condizionatori tipo split/VRV/carrellabili,0,via Cilea 146A,Annuale,12,Linee Guida,Sanificazione,,
MECCANICI,"Canali di distribuzione, ripresa, serrande",0,via Cilea 146A,Annuale,12,Linee Guida,Pulizia condotte,,
MECCANICI,Distribuzione idrico sanitaria,405 m2,via Cilea 146A,Annuale,12,D.Lgs 31/01,Verifiche perdite,,
MECCANICI,Centrali idriche (Vasche),0,via Cilea 146A,Mensile,1,D.Lgs 31/01,Controllo vasche,,
MECCANICI,Prove della legionella della rete idrico-sanitaria,2,via Cilea 146A,Annuale,12,Linee Guida,Prelievi,,
EDILE,Cancelli e sbarre motorizzati,0,via Cilea 146A,Semestrale,6,D.Lgs 81/08,Sicurezze,,
EDILE,Porte automatiche e portoni sezionali,0,via Cilea 146A,Semestrale,6,D.Lgs 81/08,Sicurezze,,
ANTINCENDIO,Estintori,0,via R. Sanzio 9,Semestrale,6,"UNI 9994-1, DPR 151/11","Verificare pressione, carica e integritÃ .",,
ANTINCENDIO,Porte Tagliafuoco / REI,1,via R. Sanzio 9,Semestrale,6,DM 10/03/98,Verifica integritÃ  guarnizioni.,,
ANTINCENDIO,Idranti / Naspi,1,via R. Sanzio 9,Semestrale,6,UNI 10779,Prova di portata e pressione.,,
ANTINCENDIO,Rilevazione Fumi,303 m2,via R. Sanzio 9,Semestrale,6,UNI 11224,Test dei rilevatori.,,
ANTINCENDIO,Illum. Emergenza,303 m2,via R. Sanzio 9,Semestrale,6,UNI EN 1838,Test di autonomia.,,
ANTINCENDIO,Centrale Pressurizzazione,0,via R. Sanzio 9,Settimanale / Mensile,,UNI EN 12845,Avviamento pompe,,
ELETTRICI,Quadri e Distribuzione,303 m2,via R. Sanzio 9,Annuale,12,CEI 64-8,Pulizia carpenteria.,,
ELETTRICI,Locali Uso Medico (G1/G2),0,via R. Sanzio 9,Annuale/Semestrale,,CEI 64-8/7-710,Prova differenziali.,,
ELETTRICI,Impianto Terra / Scariche,303 m2,via R. Sanzio 9,Biennale,24,DPR 462/01,Misura resistenza terra.,,
ELETTRICI,Rifasatori,0,via R. Sanzio 9,Semestrale,6,Norme CEI,Misura del Cos,,
ELEVATORI,Elevatori (1-5 piani),0,via R. Sanzio 9,Mensile / Semestrale,,DPR 162/99,Verifica sicurezze.,,
ELEVATORI,Elevatori (6-10 piani),0,via R. Sanzio 9,Mensile / Semestrale,,DPR 162/99,Lubrificazione organi.,,
ELEVATORI,Servoscala,0,via R. Sanzio 9,Semestrale,6,DPR 162/99,Verifica dispositivi.,,
MECCANICI,Caldaie (36-350 kW),0,via R. Sanzio 9,Mensile/Trimestrale,,DPR 74/13,Analisi combustione.,,
MECCANICI,Caldaie (>350 kW),0,via R. Sanzio 9,Settimanale,6,DPR 74/13,Controllo pressione.,,
MECCANICI,Gruppi Frigo / Chiller,0,via R. Sanzio 9,Mensile / Trimestrale,,Reg. (UE) 517,Ricerca perdite.,,
MECCANICI,UTA (Trattamento Aria),0,via R. Sanzio 9,Trimestrale,3,Linee Guida,Sostituzione filtri.,,
MECCANICI,Addolcitori,0,via R. Sanzio 9,Settimanale/Mensile,,DM 25/12,Verifica durezza.,,
MECCANICI,Produttori Biossido Cloro,0,via R. Sanzio 9,Settimanale,,Linee Guida,Dosaggio continuo.,,
MECCANICI,Pompe Sollevamento,0,via R. Sanzio 9,Mensile,1,D.Lgs 81/08,Verifica galleggianti.,,
