"CODICE";"CATEGORIA";"SOTTOCATEGORIA";"OPERAZIONE";"FREQ_G";"FREQ_St";"FREQ_Q";"FREQ_M";"FREQ_T";"FREQ_S";"FREQ_A";"FREQ_B";"FREQ_N";"FREQ_DESCRIZIONE";"PRIORITA";"FLAG_SANITARIO";"NORMATIVA";"RESPONSABILE";"NOTE";"FONTE";"DATA_ULTIMO_INTERVENTO_ANTINCENDIO"
"09";"HVAC";"Via Calvairate 1";"Manutenzione Ordinaria UTA/Chiller";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"Manuale Uso e Manutenzione";"";"DA VERIFICARE";"Milano";""
"09";"HVAC";"Via Calvairate 1";"Sostituzione Filtri";"";"";"";"";"X";"";"";"";"";"Trimestrale";"";"";"UNI EN 15780";"";"DA VERIFICARE";"Milano";""
"09";"Elettrico";"Via Calvairate 1";"Manutenzione Quadri e UPS";"";"";"";"";"";"";"X";"";"";"Annuale";"";"";"CEI 64-8; CEI 0-15";"";"DA VERIFICARE";"Milano";""
"09";"Antincendio";"Via Calvairate 1";"Controllo Rivelazione e Centrali";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"UNI 11224";"";"DA VERIFICARE";"Milano";"2026-02-24"
"09";"Antincendio";"Via Calvairate 1";"Controllo Estintori e Idranti";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"UNI 9994; UNI 10779";"";"DA VERIFICARE";"Milano";"2026-02-24"
"09";"Idrico";"Via Calvairate 1";"Prevenzione Legionella (Campionamento)";"";"";"";"X";"X";"";"";"";"";"Mensile/Trimestrale";"";"";"Linee Guida Ministero Salute";"";"DA VERIFICARE";"Milano";""
"09";"Idrico";"Via Calvairate 1";"Manutenzione Autoclavi";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"Prassi Tecnica";"";"DA VERIFICARE";"Milano";""
"09";"Elevatori";"Via Calvairate 1";"Manutenzione Periodica";"";"";"";"X";"";"";"";"";"";"Mensile/Bimensile";"";"";"DPR 162/99";"";"DA VERIFICARE";"Milano";""
"09";"Sedi";"Via Calvairate 1";"Verifica Integrità Edile";"";"";"";"";"";"";"X";"";"";"Annuale";"";"";"Building Management";"";"DA VERIFICARE";"Milano";""
"10";"HVAC";"Via Polesine 6";"Manutenzione Ordinaria UTA/Chiller";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"Manuale Uso e Manutenzione";"";"DA VERIFICARE";"Milano";""
