"CODICE";"CATEGORIA";"SOTTOCATEGORIA";"OPERAZIONE";"FREQ_DESCRIZIONE";"NORMATIVA";"COLONNA_C";"COLONNA_D";"QUANTITA";"NOTE"
"09";"Antincendio";"Via Calvairate 1";"2 n.ro estintori x Estintori";"Periodica";"Normativa vigente";"60.1";"E1.02";"2";"REALE"
"10";"Antincendio";"Via Polesine 6";"1 n.ro estintori x Estintori";"Periodica";"Normativa vigente";"60.1";"E1.02";"1";"REALE"
"12";"Antincendio";"POT Bollate";"6 n.ro estintori x Estintori";"Periodica";"Normativa vigente";"60.1";"E1.02";"6";"REALE"
"15";"Antincendio";"via Clericetti 22";"7 n.ro estintori x Estintori";"Periodica";"Normativa vigente";"60.1";"E1.02";"7";"REALE"
"16";"Antincendio";"via Don Bosco 14";"4 n.ro estintori x Estintori";"Periodica";"Normativa vigente";"60.1";"E1.02";"4";"REALE"
"17";"Antincendio";"via Fantoli 7";"9 n.ro estintori x Estintori";"Periodica";"Normativa vigente";"60.1";"E1.02";"9";"REALE"
"02";"Antincendio";"Via Don Orione 2";"22 n.ro idranti o naspi x Rete idrica e terminali";"Periodica";"Normativa vigente";"67.1";"E3.02 - E3.08";"22";"REALE"
"03";"Antincendio";"Via Farini 9";"18 n.ro idranti o naspi x Rete idrica e terminali";"Periodica";"Normativa vigente";"67.1";"E3.02 - E3.08";"18";"REALE"
"08";"Antincendio";"Via Livigno 3";"2 n.ro idranti o naspi x Rete idrica e terminali";"Periodica";"Normativa vigente";"67.1";"E3.02 - E3.08";"2";"REALE"
"12";"Antincendio";"POT Bollate";"1 n.ro idranti o naspi x Rete idrica e terminali";"Periodica";"Normativa vigente";"67.1";"E3.02 - E3.08";"1";"REALE"
"17";"Antincendio";"via Fantoli 7";"2 n.ro idranti o naspi x Rete idrica e terminali";"Periodica";"Normativa vigente";"67.1";"E3.02 - E3.08";"2";"REALE"
"02";"Elevatori";"Via Don Orione 2";"2 n.ro elevatori x Elevatori 1-5 piani (fino a 6 fermate)";"Periodica";"Normativa vigente";"72.1";"F1.01";"2";"REALE"
"03";"Elevatori";"Via Farini 9";"3 n.ro elevatori x Elevatori 1-5 piani (fino a 6 fermate)";"Periodica";"Normativa vigente";"72.1";"F1.01";"3";"REALE"
"03";"Elevatori";"Via Farini 9";"1 n.ro elevatori x Elevatori 6-10 piani (fino a 11 fermate)";"Periodica";"Normativa vigente";"72.2";"F1.01";"1";"REALE"
"02";"Elevatori";"Via Don Orione 2";"1 n.ro servoscala x Servoscala";"Periodica";"Normativa vigente";"73.1";"F1.02";"1";"REALE"
"02";"Edile";"Via Don Orione 2";"1 n.ro impianti sollevamento acque chiare e nere x Pompe di sollevamento acque nere e chiare";"Periodica";"Normativa vigente";"76.1";"G1";"1";"REALE"
"08";"Edile";"Via Livigno 3";"1 n.ro impianti sollevamento acque chiare e nere x Pompe di sollevamento acque nere e chiare";"Periodica";"Normativa vigente";"76.1";"G1";"1";"REALE"
"03";"Edile";"Via Farini 9";"1 n.ro cancelli e sbarre motorizzate x Cancelli e sbarre motorizzati";"Periodica";"Normativa vigente";"80.1";"G2.01.01";"1";"REALE"
"02";"Edile";"Via Don Orione 2";"2 n.ro porte automatiche x Porte automatiche e portoni sezionali";"Periodica";"Normativa vigente";"81.1";"G2.01.02";"2";"REALE"
"03";"Edile";"Via Farini 9";"1 n.ro porte automatiche x Porte automatiche e portoni sezionali";"Periodica";"Normativa vigente";"81.1";"G2.01.02";"1";"REALE"
